Index,BirdID,BasisNote,SimilarityMean,SimilaritySEM
0,k71o7,i,0.4810806402580201,0.008859666378338597
1,k71o7,j,0.3207812591631192,0.008221732303877453
2,k71o7,a,0.3370638561409104,0.007050437895194401
3,k71o7,b,0.40055754437736996,0.007475964839031741
4,k71o7,c,0.2784632696304281,0.007030996962318767
5,k71o7,d,0.2824163836664138,0.00590271369520304
6,k71o7,z,0.25078218081836673,0.004216770229026799
7,y3y18,i,0.4428820389606064,0.005240872639218857
8,y3y18,j,0.4512877879472031,0.0037137379711953676
9,y3y18,b,0.2400313409724869,0.003969542001408715
10,y3y18,c,0.21475743805010616,0.004685285113453753
11,y3y18,d,0.2134747539493433,0.0036106641243880775
12,y3y18,e,0.3517045088195546,0.005146062510514114
13,y3y18,f,0.32137868035675654,0.003822446554172163
14,y3y18,a,0.35338129351308756,0.003614129398401171
15,y3y18,y,0.4187976866497348,0.005405013453119955
16,y3y18,z,0.3304724212271568,0.0046290700510822355
17,o54w8,i,0.5793856246803235,0.00881505971958557
18,o54w8,a,0.4099697982413525,0.00917219699212899
19,o54w8,b,0.30103379961300175,0.003552337134030086
20,o54w8,c,0.26999885252352707,0.0042015483500332405
21,o54w8,d,0.08873072513515871,0.004207909673615089
22,o54w8,e,0.1973660339217176,0.00792325815285772
23,o54w8,j,0.34786667101672714,0.00974592118107221
24,k77r57,i,0.431825234010409,0.014964479882259428
25,k77r57,j,0.42918480064435505,0.014953071603798352
26,k77r57,a,0.3415638825712425,0.012609772839967174
27,k77r57,b,0.3045184217695379,0.01618223350235329
28,k77r57,c,0.2684590729396524,0.008087626888734052
29,b86g86,i,0.5626353431558527,0.009624295146761705
30,b86g86,a,0.3521218146884395,0.007539273657557393
31,b86g86,b,0.16775860232632703,0.009472914276592217
32,b86g86,c,0.32306421875042846,0.007863352573620851
33,b86g86,d,0.5170077583201916,0.007970306093716706
34,b86g86,e,0.28852616161474565,0.007880841975816106
35,b86g86,f,0.3271759346310392,0.006395541140584614
